id;location_string;source;destination;source_zone;destination_zone;rate;min_rate;eco_min;eco_max
4599;BFNBFN-Zone 4-Zone 3;BFN;BFN;Zone 4;Zone 3;2.63;2213;1001;3000
4600;BFNCPT-Zone 4-Zone 3;BFN;CPT;Zone 4;Zone 3;3.36;3453;1001;3000
4601;BFNDUR-Zone 4-Zone 3;BFN;DUR;Zone 4;Zone 3;3.25;3153;1001;3000
4602;BFNELS-Zone 4-Zone 3;BFN;ELS;Zone 4;Zone 3;3.77;2953;1001;3000
4603;BFNGRG-Zone 4-Zone 3;BFN;GRG;Zone 4;Zone 3;3.89;3153;1001;3000
4604;BFNJNB-Zone 4-Zone 3;BFN;JNB;Zone 4;Zone 3;3.25;3153;1001;3000
4605;BFNKIM-Zone 4-Zone 3;BFN;KIM;Zone 4;Zone 3;3.13;2453;1001;3000
4606;BFNKLD-Zone 4-Zone 3;BFN;KLD;Zone 4;Zone 3;3.19;2653;1001;3000
4607;BFNNLP-Zone 4-Zone 3;BFN;NLP;Zone 4;Zone 3;3.42;3153;1001;3000
4608;BFNPLZ-Zone 4-Zone 3;BFN;PLZ;Zone 4;Zone 3;3.71;2953;1001;3000
4609;BFNPTG-Zone 4-Zone 3;BFN;PTG;Zone 4;Zone 3;3.42;3653;1001;3000
4610;CPTBFN-Zone 4-Zone 3;CPT;BFN;Zone 4;Zone 3;3.36;3453;1001;3000
4611;CPTCPT-Zone 4-Zone 3;CPT;CPT;Zone 4;Zone 3;1.47;1324;1001;3000
4612;CPTDUR-Zone 4-Zone 3;CPT;DUR;Zone 4;Zone 3;3.3;3803;1001;3000
4613;CPTELS-Zone 4-Zone 3;CPT;ELS;Zone 4;Zone 3;3.71;3953;1001;3000
4614;CPTGRG-Zone 4-Zone 3;CPT;GRG;Zone 4;Zone 3;4.06;3053;1001;3000
4615;CPTJNB-Zone 4-Zone 3;CPT;JNB;Zone 4;Zone 3;3.72;3688;1001;3000
4616;CPTKIM-Zone 4-Zone 3;CPT;KIM;Zone 4;Zone 3;3.89;3453;1001;3000
4617;CPTKLD-Zone 4-Zone 3;CPT;KLD;Zone 4;Zone 3;3.48;2653;1001;3000
4618;CPTNLP-Zone 4-Zone 3;CPT;NLP;Zone 4;Zone 3;4;4353;1001;3000
4619;CPTPLZ-Zone 4-Zone 3;CPT;PLZ;Zone 4;Zone 3;3.77;3688;1001;3000
4620;CPTPTG-Zone 4-Zone 3;CPT;PTG;Zone 4;Zone 3;4;4353;1001;3000
4621;DURBFN-Zone 4-Zone 3;DUR;BFN;Zone 4;Zone 3;3.25;3153;1001;3000
4622;DURCPT-Zone 4-Zone 3;DUR;CPT;Zone 4;Zone 3;3.3;3803;1001;3000
4623;DURDUR-Zone 4-Zone 3;DUR;DUR;Zone 4;Zone 3;1.47;1324;1001;3000
4624;DURELS-Zone 4-Zone 3;DUR;ELS;Zone 4;Zone 3;3.48;3153;1001;3000
4625;DURGRG-Zone 4-Zone 3;DUR;GRG;Zone 4;Zone 3;3.94;3803;1001;3000
4626;DURJNB-Zone 4-Zone 3;DUR;JNB;Zone 4;Zone 3;2.04;2407;1001;3000
4627;DURKIM-Zone 4-Zone 3;DUR;KIM;Zone 4;Zone 3;4;3353;1001;3000
4628;DURKLD-Zone 4-Zone 3;DUR;KLD;Zone 4;Zone 3;3.71;3153;1001;3000
4629;DURNLP-Zone 4-Zone 3;DUR;NLP;Zone 4;Zone 3;3.83;3153;1001;3000
4630;DURPLZ-Zone 4-Zone 3;DUR;PLZ;Zone 4;Zone 3;3.54;3453;1001;3000
4631;DURPTG-Zone 4-Zone 3;DUR;PTG;Zone 4;Zone 3;3.83;3653;1001;3000
4632;ELSBFN-Zone 4-Zone 3;ELS;BFN;Zone 4;Zone 3;3.77;2953;1001;3000
4633;ELSCPT-Zone 4-Zone 3;ELS;CPT;Zone 4;Zone 3;3.71;3953;1001;3000
4634;ELSDUR-Zone 4-Zone 3;ELS;DUR;Zone 4;Zone 3;3.48;3153;1001;3000
4635;ELSELS-Zone 4-Zone 3;ELS;ELS;Zone 4;Zone 3;2.74;2213;1001;3000
4636;ELSGRG-Zone 4-Zone 3;ELS;GRG;Zone 4;Zone 3;3.71;2653;1001;3000
4637;ELSJNB-Zone 4-Zone 3;ELS;JNB;Zone 4;Zone 3;3.89;3953;1001;3000
4638;ELSKIM-Zone 4-Zone 3;ELS;KIM;Zone 4;Zone 3;4.47;3153;1001;3000
4639;ELSKLD-Zone 4-Zone 3;ELS;KLD;Zone 4;Zone 3;3.94;3688;1001;3000
4640;ELSNLP-Zone 4-Zone 3;ELS;NLP;Zone 4;Zone 3;4.29;4353;1001;3000
4641;ELSPLZ-Zone 4-Zone 3;ELS;PLZ;Zone 4;Zone 3;3.13;2453;1001;3000
4642;ELSPTG-Zone 4-Zone 3;ELS;PTG;Zone 4;Zone 3;4.35;4353;1001;3000
4643;GRGBFN-Zone 4-Zone 3;GRG;BFN;Zone 4;Zone 3;3.89;3153;1001;3000
4644;GRGCPT-Zone 4-Zone 3;GRG;CPT;Zone 4;Zone 3;4.06;3053;1001;3000
4645;GRGDUR-Zone 4-Zone 3;GRG;DUR;Zone 4;Zone 3;3.94;3803;1001;3000
4646;GRGELS-Zone 4-Zone 3;GRG;ELS;Zone 4;Zone 3;3.71;2653;1001;3000
4647;GRGGRG-Zone 4-Zone 3;GRG;GRG;Zone 4;Zone 3;2.74;2213;1001;3000
4648;GRGJNB-Zone 4-Zone 3;GRG;JNB;Zone 4;Zone 3;4.21;4153;1001;3000
4649;GRGKIM-Zone 4-Zone 3;GRG;KIM;Zone 4;Zone 3;4.12;3453;1001;3000
4650;GRGKLD-Zone 4-Zone 3;GRG;KLD;Zone 4;Zone 3;4.21;3688;1001;3000
4651;GRGNLP-Zone 4-Zone 3;GRG;NLP;Zone 4;Zone 3;4.29;4653;1001;3000
4652;GRGPLZ-Zone 4-Zone 3;GRG;PLZ;Zone 4;Zone 3;3.71;2653;1001;3000
4653;GRGPTG-Zone 4-Zone 3;GRG;PTG;Zone 4;Zone 3;4.35;4653;1001;3000
4654;JNBBFN-Zone 4-Zone 3;JNB;BFN;Zone 4;Zone 3;3.25;3153;1001;3000
4655;JNBCPT-Zone 4-Zone 3;JNB;CPT;Zone 4;Zone 3;3.72;3688;1001;3000
4656;JNBDUR-Zone 4-Zone 3;JNB;DUR;Zone 4;Zone 3;2.05;2407;1001;3000
4657;JNBELS-Zone 4-Zone 3;JNB;ELS;Zone 4;Zone 3;3.89;3953;1001;3000
4658;JNBGRG-Zone 4-Zone 3;JNB;GRG;Zone 4;Zone 3;4.21;4153;1001;3000
4659;JNBJNB-Zone 4-Zone 3;JNB;JNB;Zone 4;Zone 3;1.43;1324;1001;3000
4660;JNBKIM-Zone 4-Zone 3;JNB;KIM;Zone 4;Zone 3;3.77;3353;1001;3000
4661;JNBKLD-Zone 4-Zone 3;JNB;KLD;Zone 4;Zone 3;3.13;2653;1001;3000
4662;JNBNLP-Zone 4-Zone 3;JNB;NLP;Zone 4;Zone 3;3.25;2453;1001;3000
4663;JNBPLZ-Zone 4-Zone 3;JNB;PLZ;Zone 4;Zone 3;3.72;3688;1001;3000
4664;JNBPTG-Zone 4-Zone 3;JNB;PTG;Zone 4;Zone 3;3.25;2853;1001;3000
4665;KIMBFN-Zone 4-Zone 3;KIM;BFN;Zone 4;Zone 3;3.13;2453;1001;3000
4666;KIMCPT-Zone 4-Zone 3;KIM;CPT;Zone 4;Zone 3;3.89;3453;1001;3000
4667;KIMDUR-Zone 4-Zone 3;KIM;DUR;Zone 4;Zone 3;4;3353;1001;3000
4668;KIMELS-Zone 4-Zone 3;KIM;ELS;Zone 4;Zone 3;4.47;3153;1001;3000
4669;KIMGRG-Zone 4-Zone 3;KIM;GRG;Zone 4;Zone 3;4.12;3453;1001;3000
4670;KIMJNB-Zone 4-Zone 3;KIM;JNB;Zone 4;Zone 3;3.77;3353;1001;3000
4671;KIMKIM-Zone 4-Zone 3;KIM;KIM;Zone 4;Zone 3;2.74;2213;1001;3000
4672;KIMKLD-Zone 4-Zone 3;KIM;KLD;Zone 4;Zone 3;4.06;2653;1001;3000
4673;KIMNLP-Zone 4-Zone 3;KIM;NLP;Zone 4;Zone 3;4.06;3688;1001;3000
4674;KIMPLZ-Zone 4-Zone 3;KIM;PLZ;Zone 4;Zone 3;4;3153;1001;3000
4675;KIMPTG-Zone 4-Zone 3;KIM;PTG;Zone 4;Zone 3;3.77;3688;1001;3000
4676;KLDBFN-Zone 4-Zone 3;KLD;BFN;Zone 4;Zone 3;3.19;2653;1001;3000
4677;KLDCPT-Zone 4-Zone 3;KLD;CPT;Zone 4;Zone 3;3.48;2653;1001;3000
4678;KLDDUR-Zone 4-Zone 3;KLD;DUR;Zone 4;Zone 3;3.71;3153;1001;3000
4679;KLDELS-Zone 4-Zone 3;KLD;ELS;Zone 4;Zone 3;3.94;3688;1001;3000
4680;KLDGRG-Zone 4-Zone 3;KLD;GRG;Zone 4;Zone 3;4.21;3688;1001;3000
4681;KLDJNB-Zone 4-Zone 3;KLD;JNB;Zone 4;Zone 3;3.13;2653;1001;3000
4682;KLDKIM-Zone 4-Zone 3;KLD;KIM;Zone 4;Zone 3;4.06;2653;1001;3000
4683;KLDKLD-Zone 4-Zone 3;KLD;KLD;Zone 4;Zone 3;2.63;2213;1001;3000
4684;KLDNLP-Zone 4-Zone 3;KLD;NLP;Zone 4;Zone 3;3.94;3153;1001;3000
4685;KLDPLZ-Zone 4-Zone 3;KLD;PLZ;Zone 4;Zone 3;3.3;3688;1001;3000
4686;KLDPTG-Zone 4-Zone 3;KLD;PTG;Zone 4;Zone 3;3.89;3153;1001;3000
4687;NLPBFN-Zone 4-Zone 3;NLP;BFN;Zone 4;Zone 3;3.42;3153;1001;3000
4688;NLPCPT-Zone 4-Zone 3;NLP;CPT;Zone 4;Zone 3;4;4353;1001;3000
4689;NLPDUR-Zone 4-Zone 3;NLP;DUR;Zone 4;Zone 3;3.83;3153;1001;3000
4690;NLPELS-Zone 4-Zone 3;NLP;ELS;Zone 4;Zone 3;4.29;4353;1001;3000
4691;NLPGRG-Zone 4-Zone 3;NLP;GRG;Zone 4;Zone 3;4.29;4653;1001;3000
4692;NLPJNB-Zone 4-Zone 3;NLP;JNB;Zone 4;Zone 3;3.25;2453;1001;3000
4693;NLPKIM-Zone 4-Zone 3;NLP;KIM;Zone 4;Zone 3;4.06;3688;1001;3000
4694;NLPKLD-Zone 4-Zone 3;NLP;KLD;Zone 4;Zone 3;3.94;3153;1001;3000
4695;NLPNLP-Zone 4-Zone 3;NLP;NLP;Zone 4;Zone 3;2.68;2213;1001;3000
4696;NLPPLZ-Zone 4-Zone 3;NLP;PLZ;Zone 4;Zone 3;3.77;4353;1001;3000
4697;NLPPTG-Zone 4-Zone 3;NLP;PTG;Zone 4;Zone 3;3.13;2853;1001;3000
4698;PLZBFN-Zone 4-Zone 3;PLZ;BFN;Zone 4;Zone 3;3.71;2953;1001;3000
4699;PLZCPT-Zone 4-Zone 3;PLZ;CPT;Zone 4;Zone 3;3.77;3688;1001;3000
4700;PLZDUR-Zone 4-Zone 3;PLZ;DUR;Zone 4;Zone 3;3.54;3453;1001;3000
4701;PLZELS-Zone 4-Zone 3;PLZ;ELS;Zone 4;Zone 3;3.13;2453;1001;3000
4702;PLZGRG-Zone 4-Zone 3;PLZ;GRG;Zone 4;Zone 3;3.71;2653;1001;3000
4703;PLZJNB-Zone 4-Zone 3;PLZ;JNB;Zone 4;Zone 3;3.72;3688;1001;3000
4704;PLZKIM-Zone 4-Zone 3;PLZ;KIM;Zone 4;Zone 3;4;3153;1001;3000
4705;PLZKLD-Zone 4-Zone 3;PLZ;KLD;Zone 4;Zone 3;3.3;3688;1001;3000
4706;PLZNLP-Zone 4-Zone 3;PLZ;NLP;Zone 4;Zone 3;3.77;4353;1001;3000
4707;PLZPLZ-Zone 4-Zone 3;PLZ;PLZ;Zone 4;Zone 3;1.47;1324;1001;3000
4708;PLZPTG-Zone 4-Zone 3;PLZ;PTG;Zone 4;Zone 3;3.83;4353;1001;3000
4709;PTGBFN-Zone 4-Zone 3;PTG;BFN;Zone 4;Zone 3;3.42;3653;1001;3000
4710;PTGCPT-Zone 4-Zone 3;PTG;CPT;Zone 4;Zone 3;4;4353;1001;3000
4711;PTGDUR-Zone 4-Zone 3;PTG;DUR;Zone 4;Zone 3;3.83;3653;1001;3000
4712;PTGELS-Zone 4-Zone 3;PTG;ELS;Zone 4;Zone 3;4.35;4353;1001;3000
4713;PTGGRG-Zone 4-Zone 3;PTG;GRG;Zone 4;Zone 3;4.35;4653;1001;3000
4714;PTGJNB-Zone 4-Zone 3;PTG;JNB;Zone 4;Zone 3;3.25;2853;1001;3000
4715;PTGKIM-Zone 4-Zone 3;PTG;KIM;Zone 4;Zone 3;3.77;3688;1001;3000
4716;PTGKLD-Zone 4-Zone 3;PTG;KLD;Zone 4;Zone 3;3.89;3153;1001;3000
4717;PTGNLP-Zone 4-Zone 3;PTG;NLP;Zone 4;Zone 3;3.13;2853;1001;3000
4718;PTGPLZ-Zone 4-Zone 3;PTG;PLZ;Zone 4;Zone 3;3.83;4353;1001;3000
4719;PTGPTG-Zone 4-Zone 3;PTG;PTG;Zone 4;Zone 3;2.68;2213;1001;3000
4720;BFNBFN-Zone 5-Zone 3;BFN;BFN;Zone 5;Zone 3;2.93;3026;1001;3000
4721;BFNCPT-Zone 5-Zone 3;BFN;CPT;Zone 5;Zone 3;3.66;4266;1001;3000
4722;BFNDUR-Zone 5-Zone 3;BFN;DUR;Zone 5;Zone 3;3.55;3966;1001;3000
4723;BFNELS-Zone 5-Zone 3;BFN;ELS;Zone 5;Zone 3;4.07;3766;1001;3000
4724;BFNGRG-Zone 5-Zone 3;BFN;GRG;Zone 5;Zone 3;4.19;3966;1001;3000
4725;BFNJNB-Zone 5-Zone 3;BFN;JNB;Zone 5;Zone 3;3.55;3966;1001;3000
4726;BFNKIM-Zone 5-Zone 3;BFN;KIM;Zone 5;Zone 3;3.43;3266;1001;3000
4727;BFNKLD-Zone 5-Zone 3;BFN;KLD;Zone 5;Zone 3;3.49;3466;1001;3000
4728;BFNNLP-Zone 5-Zone 3;BFN;NLP;Zone 5;Zone 3;3.72;3966;1001;3000
4729;BFNPLZ-Zone 5-Zone 3;BFN;PLZ;Zone 5;Zone 3;4.01;3766;1001;3000
4730;BFNPTG-Zone 5-Zone 3;BFN;PTG;Zone 5;Zone 3;3.72;4466;1001;3000
4731;CPTBFN-Zone 5-Zone 3;CPT;BFN;Zone 5;Zone 3;3.66;4266;1001;3000
4732;CPTCPT-Zone 5-Zone 3;CPT;CPT;Zone 5;Zone 3;1.67;1691;1001;3000
4733;CPTDUR-Zone 5-Zone 3;CPT;DUR;Zone 5;Zone 3;3.6;4616;1001;3000
4734;CPTELS-Zone 5-Zone 3;CPT;ELS;Zone 5;Zone 3;4.01;4766;1001;3000
4735;CPTGRG-Zone 5-Zone 3;CPT;GRG;Zone 5;Zone 3;4.36;3866;1001;3000
4736;CPTJNB-Zone 5-Zone 3;CPT;JNB;Zone 5;Zone 3;4.02;4501;1001;3000
4737;CPTKIM-Zone 5-Zone 3;CPT;KIM;Zone 5;Zone 3;4.19;4266;1001;3000
4738;CPTKLD-Zone 5-Zone 3;CPT;KLD;Zone 5;Zone 3;3.78;3466;1001;3000
4739;CPTNLP-Zone 5-Zone 3;CPT;NLP;Zone 5;Zone 3;4.3;5166;1001;3000
4740;CPTPLZ-Zone 5-Zone 3;CPT;PLZ;Zone 5;Zone 3;4.07;4501;1001;3000
4741;CPTPTG-Zone 5-Zone 3;CPT;PTG;Zone 5;Zone 3;4.3;5166;1001;3000
4742;DURBFN-Zone 5-Zone 3;DUR;BFN;Zone 5;Zone 3;3.55;3966;1001;3000
4743;DURCPT-Zone 5-Zone 3;DUR;CPT;Zone 5;Zone 3;3.6;4616;1001;3000
4744;DURDUR-Zone 5-Zone 3;DUR;DUR;Zone 5;Zone 3;1.67;1691;1001;3000
4745;DURELS-Zone 5-Zone 3;DUR;ELS;Zone 5;Zone 3;3.78;3966;1001;3000
4746;DURGRG-Zone 5-Zone 3;DUR;GRG;Zone 5;Zone 3;4.24;4616;1001;3000
4747;DURJNB-Zone 5-Zone 3;DUR;JNB;Zone 5;Zone 3;2.14;2949;1001;3000
4748;DURKIM-Zone 5-Zone 3;DUR;KIM;Zone 5;Zone 3;4.3;4166;1001;3000
4749;DURKLD-Zone 5-Zone 3;DUR;KLD;Zone 5;Zone 3;4.01;3966;1001;3000
4750;DURNLP-Zone 5-Zone 3;DUR;NLP;Zone 5;Zone 3;4.13;3966;1001;3000
4751;DURPLZ-Zone 5-Zone 3;DUR;PLZ;Zone 5;Zone 3;3.84;4266;1001;3000
4752;DURPTG-Zone 5-Zone 3;DUR;PTG;Zone 5;Zone 3;4.13;4466;1001;3000
4753;ELSBFN-Zone 5-Zone 3;ELS;BFN;Zone 5;Zone 3;4.07;3766;1001;3000
4754;ELSCPT-Zone 5-Zone 3;ELS;CPT;Zone 5;Zone 3;4.01;4766;1001;3000
4755;ELSDUR-Zone 5-Zone 3;ELS;DUR;Zone 5;Zone 3;3.78;3966;1001;3000
4756;ELSELS-Zone 5-Zone 3;ELS;ELS;Zone 5;Zone 3;3.04;3026;1001;3000
4757;ELSGRG-Zone 5-Zone 3;ELS;GRG;Zone 5;Zone 3;4.01;3466;1001;3000
4758;ELSJNB-Zone 5-Zone 3;ELS;JNB;Zone 5;Zone 3;4.19;4766;1001;3000
4759;ELSKIM-Zone 5-Zone 3;ELS;KIM;Zone 5;Zone 3;4.77;3966;1001;3000
4760;ELSKLD-Zone 5-Zone 3;ELS;KLD;Zone 5;Zone 3;4.24;4501;1001;3000
4761;ELSNLP-Zone 5-Zone 3;ELS;NLP;Zone 5;Zone 3;4.59;5166;1001;3000
4762;ELSPLZ-Zone 5-Zone 3;ELS;PLZ;Zone 5;Zone 3;3.43;3266;1001;3000
4763;ELSPTG-Zone 5-Zone 3;ELS;PTG;Zone 5;Zone 3;4.65;5166;1001;3000
4764;GRGBFN-Zone 5-Zone 3;GRG;BFN;Zone 5;Zone 3;4.19;3966;1001;3000
4765;GRGCPT-Zone 5-Zone 3;GRG;CPT;Zone 5;Zone 3;4.36;3866;1001;3000
4766;GRGDUR-Zone 5-Zone 3;GRG;DUR;Zone 5;Zone 3;4.24;4616;1001;3000
4767;GRGELS-Zone 5-Zone 3;GRG;ELS;Zone 5;Zone 3;4.01;3466;1001;3000
4768;GRGGRG-Zone 5-Zone 3;GRG;GRG;Zone 5;Zone 3;3.04;3026;1001;3000
4769;GRGJNB-Zone 5-Zone 3;GRG;JNB;Zone 5;Zone 3;4.51;4966;1001;3000
4770;GRGKIM-Zone 5-Zone 3;GRG;KIM;Zone 5;Zone 3;4.42;4266;1001;3000
4771;GRGKLD-Zone 5-Zone 3;GRG;KLD;Zone 5;Zone 3;4.51;4501;1001;3000
4772;GRGNLP-Zone 5-Zone 3;GRG;NLP;Zone 5;Zone 3;4.59;5466;1001;3000
4773;GRGPLZ-Zone 5-Zone 3;GRG;PLZ;Zone 5;Zone 3;4.01;3466;1001;3000
4774;GRGPTG-Zone 5-Zone 3;GRG;PTG;Zone 5;Zone 3;4.65;5466;1001;3000
4775;JNBBFN-Zone 5-Zone 3;JNB;BFN;Zone 5;Zone 3;3.55;3966;1001;3000
4776;JNBCPT-Zone 5-Zone 3;JNB;CPT;Zone 5;Zone 3;4.02;4501;1001;3000
4777;JNBDUR-Zone 5-Zone 3;JNB;DUR;Zone 5;Zone 3;2.15;2949;1001;3000
4778;JNBELS-Zone 5-Zone 3;JNB;ELS;Zone 5;Zone 3;4.19;4766;1001;3000
4779;JNBGRG-Zone 5-Zone 3;JNB;GRG;Zone 5;Zone 3;4.51;4966;1001;3000
4780;JNBJNB-Zone 5-Zone 3;JNB;JNB;Zone 5;Zone 3;1.63;1691;1001;3000
4781;JNBKIM-Zone 5-Zone 3;JNB;KIM;Zone 5;Zone 3;4.07;4166;1001;3000
4782;JNBKLD-Zone 5-Zone 3;JNB;KLD;Zone 5;Zone 3;3.43;3466;1001;3000
4783;JNBNLP-Zone 5-Zone 3;JNB;NLP;Zone 5;Zone 3;3.55;3266;1001;3000
4784;JNBPLZ-Zone 5-Zone 3;JNB;PLZ;Zone 5;Zone 3;4.02;4501;1001;3000
4785;JNBPTG-Zone 5-Zone 3;JNB;PTG;Zone 5;Zone 3;3.55;3666;1001;3000
4786;KIMBFN-Zone 5-Zone 3;KIM;BFN;Zone 5;Zone 3;3.43;3266;1001;3000
4787;KIMCPT-Zone 5-Zone 3;KIM;CPT;Zone 5;Zone 3;4.19;4266;1001;3000
4788;KIMDUR-Zone 5-Zone 3;KIM;DUR;Zone 5;Zone 3;4.3;4166;1001;3000
4789;KIMELS-Zone 5-Zone 3;KIM;ELS;Zone 5;Zone 3;4.77;3966;1001;3000
4790;KIMGRG-Zone 5-Zone 3;KIM;GRG;Zone 5;Zone 3;4.42;4266;1001;3000
4791;KIMJNB-Zone 5-Zone 3;KIM;JNB;Zone 5;Zone 3;4.07;4166;1001;3000
4792;KIMKIM-Zone 5-Zone 3;KIM;KIM;Zone 5;Zone 3;3.04;3026;1001;3000
4793;KIMKLD-Zone 5-Zone 3;KIM;KLD;Zone 5;Zone 3;4.36;3466;1001;3000
4794;KIMNLP-Zone 5-Zone 3;KIM;NLP;Zone 5;Zone 3;4.36;4501;1001;3000
4795;KIMPLZ-Zone 5-Zone 3;KIM;PLZ;Zone 5;Zone 3;4.3;3966;1001;3000
4796;KIMPTG-Zone 5-Zone 3;KIM;PTG;Zone 5;Zone 3;4.07;4501;1001;3000
4797;KLDBFN-Zone 5-Zone 3;KLD;BFN;Zone 5;Zone 3;3.49;3466;1001;3000
4798;KLDCPT-Zone 5-Zone 3;KLD;CPT;Zone 5;Zone 3;3.78;3466;1001;3000
4799;KLDDUR-Zone 5-Zone 3;KLD;DUR;Zone 5;Zone 3;4.01;3966;1001;3000
4800;KLDELS-Zone 5-Zone 3;KLD;ELS;Zone 5;Zone 3;4.24;4501;1001;3000
4801;KLDGRG-Zone 5-Zone 3;KLD;GRG;Zone 5;Zone 3;4.51;4501;1001;3000
4802;KLDJNB-Zone 5-Zone 3;KLD;JNB;Zone 5;Zone 3;3.43;3466;1001;3000
4803;KLDKIM-Zone 5-Zone 3;KLD;KIM;Zone 5;Zone 3;4.36;3466;1001;3000
4804;KLDKLD-Zone 5-Zone 3;KLD;KLD;Zone 5;Zone 3;2.93;3026;1001;3000
4805;KLDNLP-Zone 5-Zone 3;KLD;NLP;Zone 5;Zone 3;4.24;3966;1001;3000
4806;KLDPLZ-Zone 5-Zone 3;KLD;PLZ;Zone 5;Zone 3;3.6;4501;1001;3000
4807;KLDPTG-Zone 5-Zone 3;KLD;PTG;Zone 5;Zone 3;4.19;3966;1001;3000
4808;NLPBFN-Zone 5-Zone 3;NLP;BFN;Zone 5;Zone 3;3.72;3966;1001;3000
4809;NLPCPT-Zone 5-Zone 3;NLP;CPT;Zone 5;Zone 3;4.3;5166;1001;3000
4810;NLPDUR-Zone 5-Zone 3;NLP;DUR;Zone 5;Zone 3;4.13;3966;1001;3000
4811;NLPELS-Zone 5-Zone 3;NLP;ELS;Zone 5;Zone 3;4.59;5166;1001;3000
4812;NLPGRG-Zone 5-Zone 3;NLP;GRG;Zone 5;Zone 3;4.59;5466;1001;3000
4813;NLPJNB-Zone 5-Zone 3;NLP;JNB;Zone 5;Zone 3;3.55;3266;1001;3000
4814;NLPKIM-Zone 5-Zone 3;NLP;KIM;Zone 5;Zone 3;4.36;4501;1001;3000
4815;NLPKLD-Zone 5-Zone 3;NLP;KLD;Zone 5;Zone 3;4.24;3966;1001;3000
4816;NLPNLP-Zone 5-Zone 3;NLP;NLP;Zone 5;Zone 3;2.98;3026;1001;3000
4817;NLPPLZ-Zone 5-Zone 3;NLP;PLZ;Zone 5;Zone 3;4.07;5166;1001;3000
4818;NLPPTG-Zone 5-Zone 3;NLP;PTG;Zone 5;Zone 3;3.43;3666;1001;3000
4819;PLZBFN-Zone 5-Zone 3;PLZ;BFN;Zone 5;Zone 3;4.01;3766;1001;3000
4820;PLZCPT-Zone 5-Zone 3;PLZ;CPT;Zone 5;Zone 3;4.07;4501;1001;3000
4821;PLZDUR-Zone 5-Zone 3;PLZ;DUR;Zone 5;Zone 3;3.84;4266;1001;3000
4822;PLZELS-Zone 5-Zone 3;PLZ;ELS;Zone 5;Zone 3;3.43;3266;1001;3000
4823;PLZGRG-Zone 5-Zone 3;PLZ;GRG;Zone 5;Zone 3;4.01;3466;1001;3000
4824;PLZJNB-Zone 5-Zone 3;PLZ;JNB;Zone 5;Zone 3;4.02;4501;1001;3000
4825;PLZKIM-Zone 5-Zone 3;PLZ;KIM;Zone 5;Zone 3;4.3;3966;1001;3000
4826;PLZKLD-Zone 5-Zone 3;PLZ;KLD;Zone 5;Zone 3;3.6;4501;1001;3000
4827;PLZNLP-Zone 5-Zone 3;PLZ;NLP;Zone 5;Zone 3;4.07;5166;1001;3000
4828;PLZPLZ-Zone 5-Zone 3;PLZ;PLZ;Zone 5;Zone 3;1.67;1691;1001;3000
4829;PLZPTG-Zone 5-Zone 3;PLZ;PTG;Zone 5;Zone 3;4.13;5166;1001;3000
4830;PTGBFN-Zone 5-Zone 3;PTG;BFN;Zone 5;Zone 3;3.72;4466;1001;3000
4831;PTGCPT-Zone 5-Zone 3;PTG;CPT;Zone 5;Zone 3;4.3;5166;1001;3000
4832;PTGDUR-Zone 5-Zone 3;PTG;DUR;Zone 5;Zone 3;4.13;4466;1001;3000
4833;PTGELS-Zone 5-Zone 3;PTG;ELS;Zone 5;Zone 3;4.65;5166;1001;3000
4834;PTGGRG-Zone 5-Zone 3;PTG;GRG;Zone 5;Zone 3;4.65;5466;1001;3000
4835;PTGJNB-Zone 5-Zone 3;PTG;JNB;Zone 5;Zone 3;3.55;3666;1001;3000
4836;PTGKIM-Zone 5-Zone 3;PTG;KIM;Zone 5;Zone 3;4.07;4501;1001;3000
4837;PTGKLD-Zone 5-Zone 3;PTG;KLD;Zone 5;Zone 3;4.19;3966;1001;3000
4838;PTGNLP-Zone 5-Zone 3;PTG;NLP;Zone 5;Zone 3;3.43;3666;1001;3000
4839;PTGPLZ-Zone 5-Zone 3;PTG;PLZ;Zone 5;Zone 3;4.13;5166;1001;3000
4840;PTGPTG-Zone 5-Zone 3;PTG;PTG;Zone 5;Zone 3;2.98;3026;1001;3000
4841;BFNBFN-Zone 1-Zone 4;BFN;BFN;Zone 1;Zone 4;1.94;1571;1001;3000
4842;BFNCPT-Zone 1-Zone 4;BFN;CPT;Zone 1;Zone 4;2.67;2811;1001;3000
4843;BFNDUR-Zone 1-Zone 4;BFN;DUR;Zone 1;Zone 4;2.56;2511;1001;3000
4844;BFNELS-Zone 1-Zone 4;BFN;ELS;Zone 1;Zone 4;3.08;2311;1001;3000
4845;BFNGRG-Zone 1-Zone 4;BFN;GRG;Zone 1;Zone 4;3.2;2511;1001;3000
4846;BFNJNB-Zone 1-Zone 4;BFN;JNB;Zone 1;Zone 4;2.56;2511;1001;3000
4847;BFNKIM-Zone 1-Zone 4;BFN;KIM;Zone 1;Zone 4;2.44;1811;1001;3000
4848;BFNKLD-Zone 1-Zone 4;BFN;KLD;Zone 1;Zone 4;2.5;2011;1001;3000
4849;BFNNLP-Zone 1-Zone 4;BFN;NLP;Zone 1;Zone 4;2.73;2511;1001;3000
4850;BFNPLZ-Zone 1-Zone 4;BFN;PLZ;Zone 1;Zone 4;3.02;2311;1001;3000
4851;BFNPTG-Zone 1-Zone 4;BFN;PTG;Zone 1;Zone 4;2.73;3011;1001;3000
