id;location_string;source;destination;source_zone;destination_zone;eco_rate;eco_min_rate;eco_min;eco_max;exp_rate;exp_min_rate;exp_min;exp_max;mod_of_trans
5522;KIMPTG-Zone1-Zone5;KIM;PTG;Zone 1;Zone 5;3.38;3859;1001;3000;8.74;4368;1001;3000;S
5523;KLDBFN-Zone1-Zone5;KLD;BFN;Zone 1;Zone 5;2.8;2824;1001;3000;22.71;3074;1001;3000;S
5524;KLDCPT-Zone1-Zone5;KLD;CPT;Zone 1;Zone 5;3.09;2824;1001;3000;22.71;3074;1001;3000;S
5525;KLDDUR-Zone1-Zone5;KLD;DUR;Zone 1;Zone 5;3.32;3324;1001;3000;17.58;3699;1001;3000;S
5526;KLDELS-Zone1-Zone5;KLD;ELS;Zone 1;Zone 5;3.55;3859;1001;3000;22.71;4368;1001;3000;S
5527;KLDGRG-Zone1-Zone5;KLD;GRG;Zone 1;Zone 5;3.82;3859;1001;3000;22.71;4368;1001;3000;S
5528;KLDJNB-Zone1-Zone5;KLD;JNB;Zone 1;Zone 5;2.74;2824;1001;3000;4.27;3074;1001;3000;S
5529;KLDKIM-Zone1-Zone5;KLD;KIM;Zone 1;Zone 5;3.67;2824;1001;3000;6.28;3074;1001;3000;S
5530;KLDKLD-Zone1-Zone5;KLD;KLD;Zone 1;Zone 5;2.24;2384;1001;3000;3.17;2524;1001;3000;S
5531;KLDNLP-Zone1-Zone5;KLD;NLP;Zone 1;Zone 5;3.55;3324;1001;3000;7.35;3699;1001;3000;S
5532;KLDPLZ-Zone1-Zone5;KLD;PLZ;Zone 1;Zone 5;2.91;3859;1001;3000;22.71;4368;1001;3000;S
5533;KLDPTG-Zone1-Zone5;KLD;PTG;Zone 1;Zone 5;3.5;3324;1001;3000;7.35;3699;1001;3000;S
5534;NLPBFN-Zone1-Zone5;NLP;BFN;Zone 1;Zone 5;3.03;3324;1001;3000;22.96;3699;1001;3000;S
5535;NLPCPT-Zone1-Zone5;NLP;CPT;Zone 1;Zone 5;3.61;4524;1001;3000;22.96;5199;1001;3000;S
5536;NLPDUR-Zone1-Zone5;NLP;DUR;Zone 1;Zone 5;3.44;3324;1001;3000;17.83;3699;1001;3000;S
5537;NLPELS-Zone1-Zone5;NLP;ELS;Zone 1;Zone 5;3.9;4524;1001;3000;22.96;5199;1001;3000;S
5538;NLPGRG-Zone1-Zone5;NLP;GRG;Zone 1;Zone 5;3.9;4824;1001;3000;22.96;5574;1001;3000;S
5539;NLPJNB-Zone1-Zone5;NLP;JNB;Zone 1;Zone 5;2.86;2624;1001;3000;4.52;2824;1001;3000;S
5540;NLPKIM-Zone1-Zone5;NLP;KIM;Zone 1;Zone 5;3.67;3859;1001;3000;8.74;4368;1001;3000;S
5541;NLPKLD-Zone1-Zone5;NLP;KLD;Zone 1;Zone 5;3.55;3324;1001;3000;7.35;3699;1001;3000;S
5542;NLPNLP-Zone1-Zone5;NLP;NLP;Zone 1;Zone 5;2.29;2384;1001;3000;3.3;2524;1001;3000;S
5543;NLPPLZ-Zone1-Zone5;NLP;PLZ;Zone 1;Zone 5;3.38;4524;1001;3000;22.96;5199;1001;3000;S
5544;NLPPTG-Zone1-Zone5;NLP;PTG;Zone 1;Zone 5;2.74;3024;1001;3000;7.6;3324;1001;3000;S
5545;PLZBFN-Zone1-Zone5;PLZ;BFN;Zone 1;Zone 5;3.32;3124;1001;3000;19.87;3449;1001;3000;S
5546;PLZCPT-Zone1-Zone5;PLZ;CPT;Zone 1;Zone 5;3.38;3859;1001;3000;19.87;4368;1001;3000;S
5547;PLZDUR-Zone1-Zone5;PLZ;DUR;Zone 1;Zone 5;3.15;3624;1001;3000;19.87;4074;1001;3000;S
5548;PLZELS-Zone1-Zone5;PLZ;ELS;Zone 1;Zone 5;2.74;2624;1001;3000;12.97;2824;1001;3000;S
5549;PLZGRG-Zone1-Zone5;PLZ;GRG;Zone 1;Zone 5;3.32;2824;1001;3000;38.32;3074;1001;3000;S
5550;PLZJNB-Zone1-Zone5;PLZ;JNB;Zone 1;Zone 5;3.33;3859;1001;3000;3.88;4368;1001;3000;S
5551;PLZKIM-Zone1-Zone5;PLZ;KIM;Zone 1;Zone 5;3.61;3324;1001;3000;24.1;3699;1001;3000;S
5552;PLZKLD-Zone1-Zone5;PLZ;KLD;Zone 1;Zone 5;2.91;3859;1001;3000;22.71;4368;1001;3000;S
5553;PLZNLP-Zone1-Zone5;PLZ;NLP;Zone 1;Zone 5;3.38;4524;1001;3000;22.96;5199;1001;3000;S
5554;PLZPLZ-Zone1-Zone5;PLZ;PLZ;Zone 1;Zone 5;1.29;1352;1001;3000;1.51;1565;1001;3000;S
5555;PLZPTG-Zone1-Zone5;PLZ;PTG;Zone 1;Zone 5;3.44;4524;1001;3000;22.96;5199;1001;3000;S
5556;PTGBFN-Zone1-Zone5;PTG;BFN;Zone 1;Zone 5;3.03;3824;1001;3000;22.96;4324;1001;3000;S
5557;PTGCPT-Zone1-Zone5;PTG;CPT;Zone 1;Zone 5;3.61;4524;1001;3000;22.96;5199;1001;3000;S
5558;PTGDUR-Zone1-Zone5;PTG;DUR;Zone 1;Zone 5;3.44;3824;1001;3000;17.83;4324;1001;3000;S
5559;PTGELS-Zone1-Zone5;PTG;ELS;Zone 1;Zone 5;3.96;4524;1001;3000;22.96;5199;1001;3000;S
5560;PTGGRG-Zone1-Zone5;PTG;GRG;Zone 1;Zone 5;3.96;4824;1001;3000;22.96;5574;1001;3000;S
5561;PTGJNB-Zone1-Zone5;PTG;JNB;Zone 1;Zone 5;2.86;3024;1001;3000;4.52;3324;1001;3000;S
5562;PTGKIM-Zone1-Zone5;PTG;KIM;Zone 1;Zone 5;3.38;3859;1001;3000;8.74;4368;1001;3000;S
5563;PTGKLD-Zone1-Zone5;PTG;KLD;Zone 1;Zone 5;3.5;3324;1001;3000;7.35;3699;1001;3000;S
5564;PTGNLP-Zone1-Zone5;PTG;NLP;Zone 1;Zone 5;2.74;3024;1001;3000;7.6;3324;1001;3000;S
5565;PTGPLZ-Zone1-Zone5;PTG;PLZ;Zone 1;Zone 5;3.44;4524;1001;3000;22.96;5199;1001;3000;S
5566;PTGPTG-Zone1-Zone5;PTG;PTG;Zone 1;Zone 5;2.29;2384;1001;3000;3.3;2524;1001;3000;S
5567;BFNBFN-Zone2-Zone5;BFN;BFN;Zone 2;Zone 5;2.56;2690;1001;3000;3.49;2830;1001;3000;S
5568;BFNCPT-Zone2-Zone5;BFN;CPT;Zone 2;Zone 5;3.29;3930;1001;3000;20.19;4380;1001;3000;S
5569;BFNDUR-Zone2-Zone5;BFN;DUR;Zone 2;Zone 5;3.18;3630;1001;3000;15.06;4005;1001;3000;S
5570;BFNELS-Zone2-Zone5;BFN;ELS;Zone 2;Zone 5;3.7;3430;1001;3000;20.19;3755;1001;3000;S
5571;BFNGRG-Zone2-Zone5;BFN;GRG;Zone 2;Zone 5;3.82;3630;1001;3000;38.64;4005;1001;3000;S
5572;BFNJNB-Zone2-Zone5;BFN;JNB;Zone 2;Zone 5;3.18;3630;1001;3000;20.19;4005;1001;3000;S
5573;BFNKIM-Zone2-Zone5;BFN;KIM;Zone 2;Zone 5;3.06;2930;1001;3000;24.42;3130;1001;3000;S
5574;BFNKLD-Zone2-Zone5;BFN;KLD;Zone 2;Zone 5;3.12;3130;1001;3000;23.03;3380;1001;3000;S
5575;BFNNLP-Zone2-Zone5;BFN;NLP;Zone 2;Zone 5;3.35;3630;1001;3000;23.28;4005;1001;3000;S
5576;BFNPLZ-Zone2-Zone5;BFN;PLZ;Zone 2;Zone 5;3.64;3430;1001;3000;20.19;3755;1001;3000;S
5577;BFNPTG-Zone2-Zone5;BFN;PTG;Zone 2;Zone 5;3.35;4130;1001;3000;23.28;4630;1001;3000;S
5578;CPTBFN-Zone2-Zone5;CPT;BFN;Zone 2;Zone 5;3.29;3930;1001;3000;20.19;4380;1001;3000;S
5579;CPTCPT-Zone2-Zone5;CPT;CPT;Zone 2;Zone 5;1.4;1421;1001;3000;1.62;1634;1001;3000;S
5580;CPTDUR-Zone2-Zone5;CPT;DUR;Zone 2;Zone 5;3.23;4280;1001;3000;15.74;4818;1001;3000;S
5581;CPTELS-Zone2-Zone5;CPT;ELS;Zone 2;Zone 5;3.64;4430;1001;3000;20.19;5005;1001;3000;S
5582;CPTGRG-Zone2-Zone5;CPT;GRG;Zone 2;Zone 5;3.99;3530;1001;3000;38.64;3880;1001;3000;S
5583;CPTJNB-Zone2-Zone5;CPT;JNB;Zone 2;Zone 5;3.65;4165;1001;3000;4.2;4674;1001;3000;S
5584;CPTKIM-Zone2-Zone5;CPT;KIM;Zone 2;Zone 5;3.82;3930;1001;3000;24.42;4380;1001;3000;S
5585;CPTKLD-Zone2-Zone5;CPT;KLD;Zone 2;Zone 5;3.41;3130;1001;3000;23.03;3380;1001;3000;S
5586;CPTNLP-Zone2-Zone5;CPT;NLP;Zone 2;Zone 5;3.93;4830;1001;3000;23.28;5505;1001;3000;S
5587;CPTPLZ-Zone2-Zone5;CPT;PLZ;Zone 2;Zone 5;3.7;4165;1001;3000;20.19;4674;1001;3000;S
5588;CPTPTG-Zone2-Zone5;CPT;PTG;Zone 2;Zone 5;3.93;4830;1001;3000;23.28;5505;1001;3000;S
5589;DURBFN-Zone2-Zone5;DUR;BFN;Zone 2;Zone 5;3.18;3630;1001;3000;15.06;4005;1001;3000;S
5590;DURCPT-Zone2-Zone5;DUR;CPT;Zone 2;Zone 5;3.23;4280;1001;3000;15.74;4818;1001;3000;S
5591;DURDUR-Zone2-Zone5;DUR;DUR;Zone 2;Zone 5;1.4;1421;1001;3000;1.62;1634;1001;3000;S
5592;DURELS-Zone2-Zone5;DUR;ELS;Zone 2;Zone 5;3.41;3630;1001;3000;20.19;4005;1001;3000;S
5593;DURGRG-Zone2-Zone5;DUR;GRG;Zone 2;Zone 5;3.87;4280;1001;3000;33.51;4818;1001;3000;S
5594;DURJNB-Zone2-Zone5;DUR;JNB;Zone 2;Zone 5;1.89;2725;1001;3000;2.15;2987;1001;3000;S
5595;DURKIM-Zone2-Zone5;DUR;KIM;Zone 2;Zone 5;3.93;3830;1001;3000;19.28;4255;1001;3000;S
5596;DURKLD-Zone2-Zone5;DUR;KLD;Zone 2;Zone 5;3.64;3630;1001;3000;17.9;4005;1001;3000;S
5597;DURNLP-Zone2-Zone5;DUR;NLP;Zone 2;Zone 5;3.76;3630;1001;3000;18.15;4005;1001;3000;S
5598;DURPLZ-Zone2-Zone5;DUR;PLZ;Zone 2;Zone 5;3.47;3930;1001;3000;20.19;4380;1001;3000;S
5599;DURPTG-Zone2-Zone5;DUR;PTG;Zone 2;Zone 5;3.76;4130;1001;3000;18.15;4630;1001;3000;S
5600;ELSBFN-Zone2-Zone5;ELS;BFN;Zone 2;Zone 5;3.7;3430;1001;3000;20.19;3755;1001;3000;S
5601;ELSCPT-Zone2-Zone5;ELS;CPT;Zone 2;Zone 5;3.64;4430;1001;3000;20.19;5005;1001;3000;S
5602;ELSDUR-Zone2-Zone5;ELS;DUR;Zone 2;Zone 5;3.41;3630;1001;3000;20.19;4005;1001;3000;S
5603;ELSELS-Zone2-Zone5;ELS;ELS;Zone 2;Zone 5;2.67;2690;1001;3000;3.74;2830;1001;3000;S
5604;ELSGRG-Zone2-Zone5;ELS;GRG;Zone 2;Zone 5;3.64;3130;1001;3000;38.64;3380;1001;3000;S
5605;ELSJNB-Zone2-Zone5;ELS;JNB;Zone 2;Zone 5;3.82;4430;1001;3000;20.19;5005;1001;3000;S
5606;ELSKIM-Zone2-Zone5;ELS;KIM;Zone 2;Zone 5;4.4;3630;1001;3000;24.42;4005;1001;3000;S
5607;ELSKLD-Zone2-Zone5;ELS;KLD;Zone 2;Zone 5;3.87;4165;1001;3000;23.03;4674;1001;3000;S
5608;ELSNLP-Zone2-Zone5;ELS;NLP;Zone 2;Zone 5;4.22;4830;1001;3000;23.28;5505;1001;3000;S
5609;ELSPLZ-Zone2-Zone5;ELS;PLZ;Zone 2;Zone 5;3.06;2930;1001;3000;13.29;3130;1001;3000;S
5610;ELSPTG-Zone2-Zone5;ELS;PTG;Zone 2;Zone 5;4.28;4830;1001;3000;23.28;5505;1001;3000;S
5611;GRGBFN-Zone2-Zone5;GRG;BFN;Zone 2;Zone 5;3.82;3630;1001;3000;38.64;4005;1001;3000;S
5612;GRGCPT-Zone2-Zone5;GRG;CPT;Zone 2;Zone 5;3.99;3530;1001;3000;38.64;3880;1001;3000;S
5613;GRGDUR-Zone2-Zone5;GRG;DUR;Zone 2;Zone 5;3.87;4280;1001;3000;33.51;4818;1001;3000;S
5614;GRGELS-Zone2-Zone5;GRG;ELS;Zone 2;Zone 5;3.64;3130;1001;3000;38.64;3380;1001;3000;S
5615;GRGGRG-Zone2-Zone5;GRG;GRG;Zone 2;Zone 5;2.67;2690;1001;3000;3.74;2830;1001;3000;S
5616;GRGJNB-Zone2-Zone5;GRG;JNB;Zone 2;Zone 5;4.14;4630;1001;3000;20.19;5255;1001;3000;S
5617;GRGKIM-Zone2-Zone5;GRG;KIM;Zone 2;Zone 5;4.05;3930;1001;3000;24.42;4380;1001;3000;S
5618;GRGKLD-Zone2-Zone5;GRG;KLD;Zone 2;Zone 5;4.14;4165;1001;3000;23.03;4674;1001;3000;S
5619;GRGNLP-Zone2-Zone5;GRG;NLP;Zone 2;Zone 5;4.22;5130;1001;3000;23.28;5880;1001;3000;S
5620;GRGPLZ-Zone2-Zone5;GRG;PLZ;Zone 2;Zone 5;3.64;3130;1001;3000;38.64;3380;1001;3000;S
5621;GRGPTG-Zone2-Zone5;GRG;PTG;Zone 2;Zone 5;4.28;5130;1001;3000;23.28;5880;1001;3000;S
5622;JNBBFN-Zone2-Zone5;JNB;BFN;Zone 2;Zone 5;3.18;3630;1001;3000;20.19;4005;1001;3000;S
5623;JNBCPT-Zone2-Zone5;JNB;CPT;Zone 2;Zone 5;3.65;4165;1001;3000;4.2;4674;1001;3000;S
5624;JNBDUR-Zone2-Zone5;JNB;DUR;Zone 2;Zone 5;1.9;2725;1001;3000;2.15;2987;1001;3000;S
5625;JNBELS-Zone2-Zone5;JNB;ELS;Zone 2;Zone 5;3.82;4430;1001;3000;20.19;5005;1001;3000;S
5626;JNBGRG-Zone2-Zone5;JNB;GRG;Zone 2;Zone 5;4.14;4630;1001;3000;20.19;5255;1001;3000;S
5627;JNBJNB-Zone2-Zone5;JNB;JNB;Zone 2;Zone 5;1.36;1421;1001;3000;1.62;1634;1001;3000;S
5628;JNBKIM-Zone2-Zone5;JNB;KIM;Zone 2;Zone 5;3.7;3830;1001;3000;5.97;4255;1001;3000;S
5629;JNBKLD-Zone2-Zone5;JNB;KLD;Zone 2;Zone 5;3.06;3130;1001;3000;4.59;3380;1001;3000;S
5630;JNBNLP-Zone2-Zone5;JNB;NLP;Zone 2;Zone 5;3.18;2930;1001;3000;4.84;3130;1001;3000;S
5631;JNBPLZ-Zone2-Zone5;JNB;PLZ;Zone 2;Zone 5;3.65;4165;1001;3000;4.2;4674;1001;3000;S
5632;JNBPTG-Zone2-Zone5;JNB;PTG;Zone 2;Zone 5;3.18;3330;1001;3000;4.84;3630;1001;3000;S
5633;KIMBFN-Zone2-Zone5;KIM;BFN;Zone 2;Zone 5;3.06;2930;1001;3000;24.42;3130;1001;3000;S
5634;KIMCPT-Zone2-Zone5;KIM;CPT;Zone 2;Zone 5;3.82;3930;1001;3000;24.42;4380;1001;3000;S
5635;KIMDUR-Zone2-Zone5;KIM;DUR;Zone 2;Zone 5;3.93;3830;1001;3000;19.28;4255;1001;3000;S
5636;KIMELS-Zone2-Zone5;KIM;ELS;Zone 2;Zone 5;4.4;3630;1001;3000;24.42;4005;1001;3000;S
5637;KIMGRG-Zone2-Zone5;KIM;GRG;Zone 2;Zone 5;4.05;3930;1001;3000;24.42;4380;1001;3000;S
5638;KIMJNB-Zone2-Zone5;KIM;JNB;Zone 2;Zone 5;3.7;3830;1001;3000;5.97;4255;1001;3000;S
5639;KIMKIM-Zone2-Zone5;KIM;KIM;Zone 2;Zone 5;2.67;2690;1001;3000;3.74;2830;1001;3000;S
5640;KIMKLD-Zone2-Zone5;KIM;KLD;Zone 2;Zone 5;3.99;3130;1001;3000;6.6;3380;1001;3000;S
5641;KIMNLP-Zone2-Zone5;KIM;NLP;Zone 2;Zone 5;3.99;4165;1001;3000;9.06;4674;1001;3000;S
5642;KIMPLZ-Zone2-Zone5;KIM;PLZ;Zone 2;Zone 5;3.93;3630;1001;3000;24.42;4005;1001;3000;S
5643;KIMPTG-Zone2-Zone5;KIM;PTG;Zone 2;Zone 5;3.7;4165;1001;3000;9.06;4674;1001;3000;S
5644;KLDBFN-Zone2-Zone5;KLD;BFN;Zone 2;Zone 5;3.12;3130;1001;3000;23.03;3380;1001;3000;S
5645;KLDCPT-Zone2-Zone5;KLD;CPT;Zone 2;Zone 5;3.41;3130;1001;3000;23.03;3380;1001;3000;S
5646;KLDDUR-Zone2-Zone5;KLD;DUR;Zone 2;Zone 5;3.64;3630;1001;3000;17.9;4005;1001;3000;S
5647;KLDELS-Zone2-Zone5;KLD;ELS;Zone 2;Zone 5;3.87;4165;1001;3000;23.03;4674;1001;3000;S
5648;KLDGRG-Zone2-Zone5;KLD;GRG;Zone 2;Zone 5;4.14;4165;1001;3000;23.03;4674;1001;3000;S
5649;KLDJNB-Zone2-Zone5;KLD;JNB;Zone 2;Zone 5;3.06;3130;1001;3000;4.59;3380;1001;3000;S
5650;KLDKIM-Zone2-Zone5;KLD;KIM;Zone 2;Zone 5;3.99;3130;1001;3000;6.6;3380;1001;3000;S
5651;KLDKLD-Zone2-Zone5;KLD;KLD;Zone 2;Zone 5;2.56;2690;1001;3000;3.49;2830;1001;3000;S
5652;KLDNLP-Zone2-Zone5;KLD;NLP;Zone 2;Zone 5;3.87;3630;1001;3000;7.67;4005;1001;3000;S
5653;KLDPLZ-Zone2-Zone5;KLD;PLZ;Zone 2;Zone 5;3.23;4165;1001;3000;23.03;4674;1001;3000;S
5654;KLDPTG-Zone2-Zone5;KLD;PTG;Zone 2;Zone 5;3.82;3630;1001;3000;7.67;4005;1001;3000;S
5655;NLPBFN-Zone2-Zone5;NLP;BFN;Zone 2;Zone 5;3.35;3630;1001;3000;23.28;4005;1001;3000;S
5656;NLPCPT-Zone2-Zone5;NLP;CPT;Zone 2;Zone 5;3.93;4830;1001;3000;23.28;5505;1001;3000;S
5657;NLPDUR-Zone2-Zone5;NLP;DUR;Zone 2;Zone 5;3.76;3630;1001;3000;18.15;4005;1001;3000;S
5658;NLPELS-Zone2-Zone5;NLP;ELS;Zone 2;Zone 5;4.22;4830;1001;3000;23.28;5505;1001;3000;S
5659;NLPGRG-Zone2-Zone5;NLP;GRG;Zone 2;Zone 5;4.22;5130;1001;3000;23.28;5880;1001;3000;S
5660;NLPJNB-Zone2-Zone5;NLP;JNB;Zone 2;Zone 5;3.18;2930;1001;3000;4.84;3130;1001;3000;S
5661;NLPKIM-Zone2-Zone5;NLP;KIM;Zone 2;Zone 5;3.99;4165;1001;3000;9.06;4674;1001;3000;S
5662;NLPKLD-Zone2-Zone5;NLP;KLD;Zone 2;Zone 5;3.87;3630;1001;3000;7.67;4005;1001;3000;S
5663;NLPNLP-Zone2-Zone5;NLP;NLP;Zone 2;Zone 5;2.61;2690;1001;3000;3.62;2830;1001;3000;S
5664;NLPPLZ-Zone2-Zone5;NLP;PLZ;Zone 2;Zone 5;3.7;4830;1001;3000;23.28;5505;1001;3000;S
5665;NLPPTG-Zone2-Zone5;NLP;PTG;Zone 2;Zone 5;3.06;3330;1001;3000;7.92;3630;1001;3000;S
5666;PLZBFN-Zone2-Zone5;PLZ;BFN;Zone 2;Zone 5;3.64;3430;1001;3000;20.19;3755;1001;3000;S
5667;PLZCPT-Zone2-Zone5;PLZ;CPT;Zone 2;Zone 5;3.7;4165;1001;3000;20.19;4674;1001;3000;S
5668;PLZDUR-Zone2-Zone5;PLZ;DUR;Zone 2;Zone 5;3.47;3930;1001;3000;20.19;4380;1001;3000;S
5669;PLZELS-Zone2-Zone5;PLZ;ELS;Zone 2;Zone 5;3.06;2930;1001;3000;13.29;3130;1001;3000;S
5670;PLZGRG-Zone2-Zone5;PLZ;GRG;Zone 2;Zone 5;3.64;3130;1001;3000;38.64;3380;1001;3000;S
5671;PLZJNB-Zone2-Zone5;PLZ;JNB;Zone 2;Zone 5;3.65;4165;1001;3000;4.2;4674;1001;3000;S
5672;PLZKIM-Zone2-Zone5;PLZ;KIM;Zone 2;Zone 5;3.93;3630;1001;3000;24.42;4005;1001;3000;S
5673;PLZKLD-Zone2-Zone5;PLZ;KLD;Zone 2;Zone 5;3.23;4165;1001;3000;23.03;4674;1001;3000;S
5674;PLZNLP-Zone2-Zone5;PLZ;NLP;Zone 2;Zone 5;3.7;4830;1001;3000;23.28;5505;1001;3000;S
5675;PLZPLZ-Zone2-Zone5;PLZ;PLZ;Zone 2;Zone 5;1.4;1421;1001;3000;1.62;1634;1001;3000;S
5676;PLZPTG-Zone2-Zone5;PLZ;PTG;Zone 2;Zone 5;3.76;4830;1001;3000;23.28;5505;1001;3000;S
5677;PTGBFN-Zone2-Zone5;PTG;BFN;Zone 2;Zone 5;3.35;4130;1001;3000;23.28;4630;1001;3000;S
5678;PTGCPT-Zone2-Zone5;PTG;CPT;Zone 2;Zone 5;3.93;4830;1001;3000;23.28;5505;1001;3000;S
5679;PTGDUR-Zone2-Zone5;PTG;DUR;Zone 2;Zone 5;3.76;4130;1001;3000;18.15;4630;1001;3000;S
5680;PTGELS-Zone2-Zone5;PTG;ELS;Zone 2;Zone 5;4.28;4830;1001;3000;23.28;5505;1001;3000;S
5681;PTGGRG-Zone2-Zone5;PTG;GRG;Zone 2;Zone 5;4.28;5130;1001;3000;23.28;5880;1001;3000;S
5682;PTGJNB-Zone2-Zone5;PTG;JNB;Zone 2;Zone 5;3.18;3330;1001;3000;4.84;3630;1001;3000;S
5683;PTGKIM-Zone2-Zone5;PTG;KIM;Zone 2;Zone 5;3.7;4165;1001;3000;9.06;4674;1001;3000;S
5684;PTGKLD-Zone2-Zone5;PTG;KLD;Zone 2;Zone 5;3.82;3630;1001;3000;7.67;4005;1001;3000;S
5685;PTGNLP-Zone2-Zone5;PTG;NLP;Zone 2;Zone 5;3.06;3330;1001;3000;7.92;3630;1001;3000;S
5686;PTGPLZ-Zone2-Zone5;PTG;PLZ;Zone 2;Zone 5;3.76;4830;1001;3000;23.28;5505;1001;3000;S
5687;PTGPTG-Zone2-Zone5;PTG;PTG;Zone 2;Zone 5;2.61;2690;1001;3000;3.62;2830;1001;3000;S
5688;BFNBFN-Zone3-Zone5;BFN;BFN;Zone 3;Zone 5;2.93;3026;1001;3000;3.86;3166;1001;3000;S
5689;BFNCPT-Zone3-Zone5;BFN;CPT;Zone 3;Zone 5;3.66;4266;1001;3000;20.56;4716;1001;3000;S
5690;BFNDUR-Zone3-Zone5;BFN;DUR;Zone 3;Zone 5;3.55;3966;1001;3000;15.43;4341;1001;3000;S
5691;BFNELS-Zone3-Zone5;BFN;ELS;Zone 3;Zone 5;4.07;3766;1001;3000;20.56;4091;1001;3000;S
5692;BFNGRG-Zone3-Zone5;BFN;GRG;Zone 3;Zone 5;4.19;3966;1001;3000;39.01;4341;1001;3000;S
5693;BFNJNB-Zone3-Zone5;BFN;JNB;Zone 3;Zone 5;3.55;3966;1001;3000;20.56;4341;1001;3000;S
5694;BFNKIM-Zone3-Zone5;BFN;KIM;Zone 3;Zone 5;3.43;3266;1001;3000;24.79;3466;1001;3000;S
5695;BFNKLD-Zone3-Zone5;BFN;KLD;Zone 3;Zone 5;3.49;3466;1001;3000;23.4;3716;1001;3000;S
5696;BFNNLP-Zone3-Zone5;BFN;NLP;Zone 3;Zone 5;3.72;3966;1001;3000;23.65;4341;1001;3000;S
5697;BFNPLZ-Zone3-Zone5;BFN;PLZ;Zone 3;Zone 5;4.01;3766;1001;3000;20.56;4091;1001;3000;S
5698;BFNPTG-Zone3-Zone5;BFN;PTG;Zone 3;Zone 5;3.72;4466;1001;3000;23.65;4966;1001;3000;S
5699;CPTBFN-Zone3-Zone5;CPT;BFN;Zone 3;Zone 5;3.66;4266;1001;3000;20.56;4716;1001;3000;S
5700;CPTCPT-Zone3-Zone5;CPT;CPT;Zone 3;Zone 5;1.67;1691;1001;3000;1.89;1904;1001;3000;S
5701;CPTDUR-Zone3-Zone5;CPT;DUR;Zone 3;Zone 5;3.6;4616;1001;3000;16.11;5154;1001;3000;S
5702;CPTELS-Zone3-Zone5;CPT;ELS;Zone 3;Zone 5;4.01;4766;1001;3000;20.56;5341;1001;3000;S
5703;CPTGRG-Zone3-Zone5;CPT;GRG;Zone 3;Zone 5;4.36;3866;1001;3000;39.01;4216;1001;3000;S
5704;CPTJNB-Zone3-Zone5;CPT;JNB;Zone 3;Zone 5;4.02;4501;1001;3000;4.57;5010;1001;3000;S
5705;CPTKIM-Zone3-Zone5;CPT;KIM;Zone 3;Zone 5;4.19;4266;1001;3000;24.79;4716;1001;3000;S
5706;CPTKLD-Zone3-Zone5;CPT;KLD;Zone 3;Zone 5;3.78;3466;1001;3000;23.4;3716;1001;3000;S
5707;CPTNLP-Zone3-Zone5;CPT;NLP;Zone 3;Zone 5;4.3;5166;1001;3000;23.65;5841;1001;3000;S
5708;CPTPLZ-Zone3-Zone5;CPT;PLZ;Zone 3;Zone 5;4.07;4501;1001;3000;20.56;5010;1001;3000;S
5709;CPTPTG-Zone3-Zone5;CPT;PTG;Zone 3;Zone 5;4.3;5166;1001;3000;23.65;5841;1001;3000;S
5710;DURBFN-Zone3-Zone5;DUR;BFN;Zone 3;Zone 5;3.55;3966;1001;3000;15.43;4341;1001;3000;S
5711;DURCPT-Zone3-Zone5;DUR;CPT;Zone 3;Zone 5;3.6;4616;1001;3000;16.11;5154;1001;3000;S
5712;DURDUR-Zone3-Zone5;DUR;DUR;Zone 3;Zone 5;1.67;1691;1001;3000;1.89;1904;1001;3000;S
5713;DURELS-Zone3-Zone5;DUR;ELS;Zone 3;Zone 5;3.78;3966;1001;3000;20.56;4341;1001;3000;S
5714;DURGRG-Zone3-Zone5;DUR;GRG;Zone 3;Zone 5;4.24;4616;1001;3000;33.88;5154;1001;3000;S
5715;DURJNB-Zone3-Zone5;DUR;JNB;Zone 3;Zone 5;2.14;2949;1001;3000;2.4;3211;1001;3000;S
5716;DURKIM-Zone3-Zone5;DUR;KIM;Zone 3;Zone 5;4.3;4166;1001;3000;19.65;4591;1001;3000;S
5717;DURKLD-Zone3-Zone5;DUR;KLD;Zone 3;Zone 5;4.01;3966;1001;3000;18.27;4341;1001;3000;S
5718;DURNLP-Zone3-Zone5;DUR;NLP;Zone 3;Zone 5;4.13;3966;1001;3000;18.52;4341;1001;3000;S
5719;DURPLZ-Zone3-Zone5;DUR;PLZ;Zone 3;Zone 5;3.84;4266;1001;3000;20.56;4716;1001;3000;S
5720;DURPTG-Zone3-Zone5;DUR;PTG;Zone 3;Zone 5;4.13;4466;1001;3000;18.52;4966;1001;3000;S
5721;ELSBFN-Zone3-Zone5;ELS;BFN;Zone 3;Zone 5;4.07;3766;1001;3000;20.56;4091;1001;3000;S
5722;ELSCPT-Zone3-Zone5;ELS;CPT;Zone 3;Zone 5;4.01;4766;1001;3000;20.56;5341;1001;3000;S
5723;ELSDUR-Zone3-Zone5;ELS;DUR;Zone 3;Zone 5;3.78;3966;1001;3000;20.56;4341;1001;3000;S
5724;ELSELS-Zone3-Zone5;ELS;ELS;Zone 3;Zone 5;3.04;3026;1001;3000;4.11;3166;1001;3000;S
5725;ELSGRG-Zone3-Zone5;ELS;GRG;Zone 3;Zone 5;4.01;3466;1001;3000;39.01;3716;1001;3000;S
