id;location_string;source;destination;source_zone;destination_zone;rate;min_rate;eco_min;eco_max;ex_rate;ex_min_rate
1289;KLDCPT-Zone 1-Zone 3;KLD;CPT;Zone 1;Zone 3;2.4;1642;1;1000;2.64;2142
1290;KLDDUR-Zone 1-Zone 3;KLD;DUR;Zone 1;Zone 3;2.64;2142;1;1000;2.88;2677
1291;KLDELS-Zone 1-Zone 3;KLD;ELS;Zone 1;Zone 3;2.88;2677;1;1000;3.15;2677
1292;KLDGRG-Zone 1-Zone 3;KLD;GRG;Zone 1;Zone 3;3.15;2677;1;1000;2.04;1642
1293;KLDJNB-Zone 1-Zone 3;KLD;JNB;Zone 1;Zone 3;2.04;1642;1;1000;3;1642
1294;KLDKIM-Zone 1-Zone 3;KLD;KIM;Zone 1;Zone 3;3;1642;1;1000;1.52;1202
1295;KLDKLD-Zone 1-Zone 3;KLD;KLD;Zone 1;Zone 3;1.52;1202;1;1000;2.88;2142
1296;KLDNLP-Zone 1-Zone 3;KLD;NLP;Zone 1;Zone 3;2.88;2142;1;1000;2.22;2677
1297;KLDPLZ-Zone 1-Zone 3;KLD;PLZ;Zone 1;Zone 3;2.22;2677;1;1000;2.82;2142
1298;KLDPTG-Zone 1-Zone 3;KLD;PTG;Zone 1;Zone 3;2.82;2142;1;1000;2.34;2142
1299;NLPBFN-Zone 1-Zone 3;NLP;BFN;Zone 1;Zone 3;2.34;2142;1;1000;2.94;3342
1300;NLPCPT-Zone 1-Zone 3;NLP;CPT;Zone 1;Zone 3;2.94;3342;1;1000;2.76;2142
1301;NLPDUR-Zone 1-Zone 3;NLP;DUR;Zone 1;Zone 3;2.76;2142;1;1000;3.24;3342
1302;NLPELS-Zone 1-Zone 3;NLP;ELS;Zone 1;Zone 3;3.24;3342;1;1000;3.24;3642
1303;NLPGRG-Zone 1-Zone 3;NLP;GRG;Zone 1;Zone 3;3.24;3642;1;1000;2.16;1442
1304;NLPJNB-Zone 1-Zone 3;NLP;JNB;Zone 1;Zone 3;2.16;1442;1;1000;3;2677
1305;NLPKIM-Zone 1-Zone 3;NLP;KIM;Zone 1;Zone 3;3;2677;1;1000;2.88;2142
1306;NLPKLD-Zone 1-Zone 3;NLP;KLD;Zone 1;Zone 3;2.88;2142;1;1000;1.58;1202
1307;NLPNLP-Zone 1-Zone 3;NLP;NLP;Zone 1;Zone 3;1.58;1202;1;1000;2.7;3342
1308;NLPPLZ-Zone 1-Zone 3;NLP;PLZ;Zone 1;Zone 3;2.7;3342;1;1000;2.04;1842
1309;NLPPTG-Zone 1-Zone 3;NLP;PTG;Zone 1;Zone 3;2.04;1842;1;1000;2.64;1942
1310;PLZBFN-Zone 1-Zone 3;PLZ;BFN;Zone 1;Zone 3;2.64;1942;1;1000;2.7;2677
1311;PLZCPT-Zone 1-Zone 3;PLZ;CPT;Zone 1;Zone 3;2.7;2677;1;1000;2.46;2442
1312;PLZDUR-Zone 1-Zone 3;PLZ;DUR;Zone 1;Zone 3;2.46;2442;1;1000;2.04;1442
1313;PLZELS-Zone 1-Zone 3;PLZ;ELS;Zone 1;Zone 3;2.04;1442;1;1000;2.64;1642
1314;PLZGRG-Zone 1-Zone 3;PLZ;GRG;Zone 1;Zone 3;2.64;1642;1;1000;2.65;2677
1315;PLZJNB-Zone 1-Zone 3;PLZ;JNB;Zone 1;Zone 3;2.65;2677;1;1000;2.94;2142
1316;PLZKIM-Zone 1-Zone 3;PLZ;KIM;Zone 1;Zone 3;2.94;2142;1;1000;2.22;2677
1317;PLZKLD-Zone 1-Zone 3;PLZ;KLD;Zone 1;Zone 3;2.22;2677;1;1000;2.7;3342
1318;PLZNLP-Zone 1-Zone 3;PLZ;NLP;Zone 1;Zone 3;2.7;3342;1;1000;0.73;695
1319;PLZPLZ-Zone 1-Zone 3;PLZ;PLZ;Zone 1;Zone 3;0.73;695;1;1000;2.76;3342
1320;PLZPTG-Zone 1-Zone 3;PLZ;PTG;Zone 1;Zone 3;2.76;3342;1;1000;2.34;2642
1321;PTGBFN-Zone 1-Zone 3;PTG;BFN;Zone 1;Zone 3;2.34;2642;1;1000;2.94;3342
1322;PTGCPT-Zone 1-Zone 3;PTG;CPT;Zone 1;Zone 3;2.94;3342;1;1000;2.76;2642
1323;PTGDUR-Zone 1-Zone 3;PTG;DUR;Zone 1;Zone 3;2.76;2642;1;1000;3.3;3342
1324;PTGELS-Zone 1-Zone 3;PTG;ELS;Zone 1;Zone 3;3.3;3342;1;1000;3.3;3642
1325;PTGGRG-Zone 1-Zone 3;PTG;GRG;Zone 1;Zone 3;3.3;3642;1;1000;2.16;1842
1326;PTGJNB-Zone 1-Zone 3;PTG;JNB;Zone 1;Zone 3;2.16;1842;1;1000;2.7;2677
1327;PTGKIM-Zone 1-Zone 3;PTG;KIM;Zone 1;Zone 3;2.7;2677;1;1000;2.82;2142
1328;PTGKLD-Zone 1-Zone 3;PTG;KLD;Zone 1;Zone 3;2.82;2142;1;1000;2.04;1842
1329;PTGNLP-Zone 1-Zone 3;PTG;NLP;Zone 1;Zone 3;2.04;1842;1;1000;2.76;3342
1330;PTGPLZ-Zone 1-Zone 3;PTG;PLZ;Zone 1;Zone 3;2.76;3342;1;1000;1.58;1202
1331;PTGPTG-Zone 1-Zone 3;PTG;PTG;Zone 1;Zone 3;1.58;1202;1;1000;1.84;1508
1332;BFNBFN-Zone 2-Zone 3;BFN;BFN;Zone 2;Zone 3;1.84;1508;1;1000;2.6;2748
1333;BFNCPT-Zone 2-Zone 3;BFN;CPT;Zone 2;Zone 3;2.6;2748;1;1000;2.48;2448
1334;BFNDUR-Zone 2-Zone 3;BFN;DUR;Zone 2;Zone 3;2.48;2448;1;1000;3.02;2248
1335;BFNELS-Zone 2-Zone 3;BFN;ELS;Zone 2;Zone 3;3.02;2248;1;1000;3.14;2448
1336;BFNGRG-Zone 2-Zone 3;BFN;GRG;Zone 2;Zone 3;3.14;2448;1;1000;2.48;2448
1337;BFNJNB-Zone 2-Zone 3;BFN;JNB;Zone 2;Zone 3;2.48;2448;1;1000;2.36;1748
1338;BFNKIM-Zone 2-Zone 3;BFN;KIM;Zone 2;Zone 3;2.36;1748;1;1000;2.42;1948
1339;BFNKLD-Zone 2-Zone 3;BFN;KLD;Zone 2;Zone 3;2.42;1948;1;1000;2.66;2448
1340;BFNNLP-Zone 2-Zone 3;BFN;NLP;Zone 2;Zone 3;2.66;2448;1;1000;2.96;2248
1341;BFNPLZ-Zone 2-Zone 3;BFN;PLZ;Zone 2;Zone 3;2.96;2248;1;1000;2.66;2948
1342;BFNPTG-Zone 2-Zone 3;BFN;PTG;Zone 2;Zone 3;2.66;2948;1;1000;2.6;2748
1343;CPTBFN-Zone 2-Zone 3;CPT;BFN;Zone 2;Zone 3;2.6;2748;1;1000;0.84;764
1344;CPTCPT-Zone 2-Zone 3;CPT;CPT;Zone 2;Zone 3;0.84;764;1;1000;2.54;3098
1345;CPTDUR-Zone 2-Zone 3;CPT;DUR;Zone 2;Zone 3;2.54;3098;1;1000;2.96;3248
1346;CPTELS-Zone 2-Zone 3;CPT;ELS;Zone 2;Zone 3;2.96;3248;1;1000;3.32;2348
1347;CPTGRG-Zone 2-Zone 3;CPT;GRG;Zone 2;Zone 3;3.32;2348;1;1000;2.97;2983
1348;CPTJNB-Zone 2-Zone 3;CPT;JNB;Zone 2;Zone 3;2.97;2983;1;1000;3.14;2748
1349;CPTKIM-Zone 2-Zone 3;CPT;KIM;Zone 2;Zone 3;3.14;2748;1;1000;2.72;1948
1350;CPTKLD-Zone 2-Zone 3;CPT;KLD;Zone 2;Zone 3;2.72;1948;1;1000;3.26;3648
1351;CPTNLP-Zone 2-Zone 3;CPT;NLP;Zone 2;Zone 3;3.26;3648;1;1000;3.02;2983
1352;CPTPLZ-Zone 2-Zone 3;CPT;PLZ;Zone 2;Zone 3;3.02;2983;1;1000;3.26;3648
1353;CPTPTG-Zone 2-Zone 3;CPT;PTG;Zone 2;Zone 3;3.26;3648;1;1000;2.48;2448
1354;DURBFN-Zone 2-Zone 3;DUR;BFN;Zone 2;Zone 3;2.48;2448;1;1000;2.54;3098
1355;DURCPT-Zone 2-Zone 3;DUR;CPT;Zone 2;Zone 3;2.54;3098;1;1000;0.84;764
1356;DURDUR-Zone 2-Zone 3;DUR;DUR;Zone 2;Zone 3;0.84;764;1;1000;2.72;2448
1357;DURELS-Zone 2-Zone 3;DUR;ELS;Zone 2;Zone 3;2.72;2448;1;1000;3.2;3098
1358;DURGRG-Zone 2-Zone 3;DUR;GRG;Zone 2;Zone 3;3.2;3098;1;1000;1.56;1937
1359;DURJNB-Zone 2-Zone 3;DUR;JNB;Zone 2;Zone 3;1.56;1937;1;1000;3.26;2648
1360;DURKIM-Zone 2-Zone 3;DUR;KIM;Zone 2;Zone 3;3.26;2648;1;1000;2.96;2448
1361;DURKLD-Zone 2-Zone 3;DUR;KLD;Zone 2;Zone 3;2.96;2448;1;1000;3.08;2448
1362;DURNLP-Zone 2-Zone 3;DUR;NLP;Zone 2;Zone 3;3.08;2448;1;1000;2.78;2748
1363;DURPLZ-Zone 2-Zone 3;DUR;PLZ;Zone 2;Zone 3;2.78;2748;1;1000;3.08;2948
1364;DURPTG-Zone 2-Zone 3;DUR;PTG;Zone 2;Zone 3;3.08;2948;1;1000;3.02;2248
1365;ELSBFN-Zone 2-Zone 3;ELS;BFN;Zone 2;Zone 3;3.02;2248;1;1000;2.96;3248
1366;ELSCPT-Zone 2-Zone 3;ELS;CPT;Zone 2;Zone 3;2.96;3248;1;1000;2.72;2448
1367;ELSDUR-Zone 2-Zone 3;ELS;DUR;Zone 2;Zone 3;2.72;2448;1;1000;1.96;1508
1368;ELSELS-Zone 2-Zone 3;ELS;ELS;Zone 2;Zone 3;1.96;1508;1;1000;2.96;1948
1369;ELSGRG-Zone 2-Zone 3;ELS;GRG;Zone 2;Zone 3;2.96;1948;1;1000;3.14;3248
1370;ELSJNB-Zone 2-Zone 3;ELS;JNB;Zone 2;Zone 3;3.14;3248;1;1000;3.74;2448
1371;ELSKIM-Zone 2-Zone 3;ELS;KIM;Zone 2;Zone 3;3.74;2448;1;1000;3.2;2983
1372;ELSKLD-Zone 2-Zone 3;ELS;KLD;Zone 2;Zone 3;3.2;2983;1;1000;3.56;3648
1373;ELSNLP-Zone 2-Zone 3;ELS;NLP;Zone 2;Zone 3;3.56;3648;1;1000;2.36;1748
1374;ELSPLZ-Zone 2-Zone 3;ELS;PLZ;Zone 2;Zone 3;2.36;1748;1;1000;3.62;3648
1375;ELSPTG-Zone 2-Zone 3;ELS;PTG;Zone 2;Zone 3;3.62;3648;1;1000;3.14;2448
1376;GRGBFN-Zone 2-Zone 3;GRG;BFN;Zone 2;Zone 3;3.14;2448;1;1000;3.32;2348
1377;GRGCPT-Zone 2-Zone 3;GRG;CPT;Zone 2;Zone 3;3.32;2348;1;1000;3.2;3098
1378;GRGDUR-Zone 2-Zone 3;GRG;DUR;Zone 2;Zone 3;3.2;3098;1;1000;2.96;1948
1379;GRGELS-Zone 2-Zone 3;GRG;ELS;Zone 2;Zone 3;2.96;1948;1;1000;1.96;1508
1380;GRGGRG-Zone 2-Zone 3;GRG;GRG;Zone 2;Zone 3;1.96;1508;1;1000;3.47;3448
1381;GRGJNB-Zone 2-Zone 3;GRG;JNB;Zone 2;Zone 3;3.47;3448;1;1000;3.38;2748
1382;GRGKIM-Zone 2-Zone 3;GRG;KIM;Zone 2;Zone 3;3.38;2748;1;1000;3.47;2983
1383;GRGKLD-Zone 2-Zone 3;GRG;KLD;Zone 2;Zone 3;3.47;2983;1;1000;3.56;3948
1384;GRGNLP-Zone 2-Zone 3;GRG;NLP;Zone 2;Zone 3;3.56;3948;1;1000;2.96;1948
1385;GRGPLZ-Zone 2-Zone 3;GRG;PLZ;Zone 2;Zone 3;2.96;1948;1;1000;3.62;3948
1386;GRGPTG-Zone 2-Zone 3;GRG;PTG;Zone 2;Zone 3;3.62;3948;1;1000;2.48;2448
1387;JNBBFN-Zone 2-Zone 3;JNB;BFN;Zone 2;Zone 3;2.48;2448;1;1000;2.97;2983
1388;JNBCPT-Zone 2-Zone 3;JNB;CPT;Zone 2;Zone 3;2.97;2983;1;1000;1.56;1937
1389;JNBDUR-Zone 2-Zone 3;JNB;DUR;Zone 2;Zone 3;1.56;1937;1;1000;3.14;3248
1390;JNBELS-Zone 2-Zone 3;JNB;ELS;Zone 2;Zone 3;3.14;3248;1;1000;3.47;3448
1391;JNBGRG-Zone 2-Zone 3;JNB;GRG;Zone 2;Zone 3;3.47;3448;1;1000;0.8;764
1392;JNBJNB-Zone 2-Zone 3;JNB;JNB;Zone 2;Zone 3;0.8;764;1;1000;3.02;2648
1393;JNBKIM-Zone 2-Zone 3;JNB;KIM;Zone 2;Zone 3;3.02;2648;1;1000;2.36;1948
1394;JNBKLD-Zone 2-Zone 3;JNB;KLD;Zone 2;Zone 3;2.36;1948;1;1000;2.48;1748
1395;JNBNLP-Zone 2-Zone 3;JNB;NLP;Zone 2;Zone 3;2.48;1748;1;1000;2.97;2983
1396;JNBPLZ-Zone 2-Zone 3;JNB;PLZ;Zone 2;Zone 3;2.97;2983;1;1000;2.48;2148
1397;JNBPTG-Zone 2-Zone 3;JNB;PTG;Zone 2;Zone 3;2.48;2148;1;1000;2.36;1748
1398;KIMBFN-Zone 2-Zone 3;KIM;BFN;Zone 2;Zone 3;2.36;1748;1;1000;3.14;2748
1399;KIMCPT-Zone 2-Zone 3;KIM;CPT;Zone 2;Zone 3;3.14;2748;1;1000;3.26;2648
1400;KIMDUR-Zone 2-Zone 3;KIM;DUR;Zone 2;Zone 3;3.26;2648;1;1000;3.74;2448
1401;KIMELS-Zone 2-Zone 3;KIM;ELS;Zone 2;Zone 3;3.74;2448;1;1000;3.38;2748
1402;KIMGRG-Zone 2-Zone 3;KIM;GRG;Zone 2;Zone 3;3.38;2748;1;1000;3.02;2648
1403;KIMJNB-Zone 2-Zone 3;KIM;JNB;Zone 2;Zone 3;3.02;2648;1;1000;1.96;1508
1404;KIMKIM-Zone 2-Zone 3;KIM;KIM;Zone 2;Zone 3;1.96;1508;1;1000;3.32;1948
1405;KIMKLD-Zone 2-Zone 3;KIM;KLD;Zone 2;Zone 3;3.32;1948;1;1000;3.32;2983
1406;KIMNLP-Zone 2-Zone 3;KIM;NLP;Zone 2;Zone 3;3.32;2983;1;1000;3.26;2448
1407;KIMPLZ-Zone 2-Zone 3;KIM;PLZ;Zone 2;Zone 3;3.26;2448;1;1000;3.02;2983
1408;KIMPTG-Zone 2-Zone 3;KIM;PTG;Zone 2;Zone 3;3.02;2983;1;1000;2.42;1948
1409;KLDBFN-Zone 2-Zone 3;KLD;BFN;Zone 2;Zone 3;2.42;1948;1;1000;2.72;1948
1410;KLDCPT-Zone 2-Zone 3;KLD;CPT;Zone 2;Zone 3;2.72;1948;1;1000;2.96;2448
1411;KLDDUR-Zone 2-Zone 3;KLD;DUR;Zone 2;Zone 3;2.96;2448;1;1000;3.2;2983
1412;KLDELS-Zone 2-Zone 3;KLD;ELS;Zone 2;Zone 3;3.2;2983;1;1000;3.47;2983
1413;KLDGRG-Zone 2-Zone 3;KLD;GRG;Zone 2;Zone 3;3.47;2983;1;1000;2.36;1948
1414;KLDJNB-Zone 2-Zone 3;KLD;JNB;Zone 2;Zone 3;2.36;1948;1;1000;3.32;1948
1415;KLDKIM-Zone 2-Zone 3;KLD;KIM;Zone 2;Zone 3;3.32;1948;1;1000;1.84;1508
1416;KLDKLD-Zone 2-Zone 3;KLD;KLD;Zone 2;Zone 3;1.84;1508;1;1000;3.2;2448
1417;KLDNLP-Zone 2-Zone 3;KLD;NLP;Zone 2;Zone 3;3.2;2448;1;1000;2.54;2983
1418;KLDPLZ-Zone 2-Zone 3;KLD;PLZ;Zone 2;Zone 3;2.54;2983;1;1000;3.14;2448
1419;KLDPTG-Zone 2-Zone 3;KLD;PTG;Zone 2;Zone 3;3.14;2448;1;1000;2.66;2448
1420;NLPBFN-Zone 2-Zone 3;NLP;BFN;Zone 2;Zone 3;2.66;2448;1;1000;3.26;3648
1421;NLPCPT-Zone 2-Zone 3;NLP;CPT;Zone 2;Zone 3;3.26;3648;1;1000;3.08;2448
1422;NLPDUR-Zone 2-Zone 3;NLP;DUR;Zone 2;Zone 3;3.08;2448;1;1000;3.56;3648
1423;NLPELS-Zone 2-Zone 3;NLP;ELS;Zone 2;Zone 3;3.56;3648;1;1000;3.56;3948
1424;NLPGRG-Zone 2-Zone 3;NLP;GRG;Zone 2;Zone 3;3.56;3948;1;1000;2.48;1748
1425;NLPJNB-Zone 2-Zone 3;NLP;JNB;Zone 2;Zone 3;2.48;1748;1;1000;3.32;2983
1426;NLPKIM-Zone 2-Zone 3;NLP;KIM;Zone 2;Zone 3;3.32;2983;1;1000;3.2;2448
1427;NLPKLD-Zone 2-Zone 3;NLP;KLD;Zone 2;Zone 3;3.2;2448;1;1000;1.9;1508
1428;NLPNLP-Zone 2-Zone 3;NLP;NLP;Zone 2;Zone 3;1.9;1508;1;1000;3.02;3648
1429;NLPPLZ-Zone 2-Zone 3;NLP;PLZ;Zone 2;Zone 3;3.02;3648;1;1000;2.36;2148
1430;NLPPTG-Zone 2-Zone 3;NLP;PTG;Zone 2;Zone 3;2.36;2148;1;1000;2.96;2248
1431;PLZBFN-Zone 2-Zone 3;PLZ;BFN;Zone 2;Zone 3;2.96;2248;1;1000;3.02;2983
1432;PLZCPT-Zone 2-Zone 3;PLZ;CPT;Zone 2;Zone 3;3.02;2983;1;1000;2.78;2748
1433;PLZDUR-Zone 2-Zone 3;PLZ;DUR;Zone 2;Zone 3;2.78;2748;1;1000;2.36;1748
1434;PLZELS-Zone 2-Zone 3;PLZ;ELS;Zone 2;Zone 3;2.36;1748;1;1000;2.96;1948
1435;PLZGRG-Zone 2-Zone 3;PLZ;GRG;Zone 2;Zone 3;2.96;1948;1;1000;2.97;2983
1436;PLZJNB-Zone 2-Zone 3;PLZ;JNB;Zone 2;Zone 3;2.97;2983;1;1000;3.26;2448
1437;PLZKIM-Zone 2-Zone 3;PLZ;KIM;Zone 2;Zone 3;3.26;2448;1;1000;2.54;2983
1438;PLZKLD-Zone 2-Zone 3;PLZ;KLD;Zone 2;Zone 3;2.54;2983;1;1000;3.02;3648
1439;PLZNLP-Zone 2-Zone 3;PLZ;NLP;Zone 2;Zone 3;3.02;3648;1;1000;0.84;764
1440;PLZPLZ-Zone 2-Zone 3;PLZ;PLZ;Zone 2;Zone 3;0.84;764;1;1000;3.08;3648
1441;PLZPTG-Zone 2-Zone 3;PLZ;PTG;Zone 2;Zone 3;3.08;3648;1;1000;2.66;2948
1442;PTGBFN-Zone 2-Zone 3;PTG;BFN;Zone 2;Zone 3;2.66;2948;1;1000;3.26;3648
1443;PTGCPT-Zone 2-Zone 3;PTG;CPT;Zone 2;Zone 3;3.26;3648;1;1000;3.08;2948
1444;PTGDUR-Zone 2-Zone 3;PTG;DUR;Zone 2;Zone 3;3.08;2948;1;1000;3.62;3648
1445;PTGELS-Zone 2-Zone 3;PTG;ELS;Zone 2;Zone 3;3.62;3648;1;1000;3.62;3948
1446;PTGGRG-Zone 2-Zone 3;PTG;GRG;Zone 2;Zone 3;3.62;3948;1;1000;2.48;2148
1447;PTGJNB-Zone 2-Zone 3;PTG;JNB;Zone 2;Zone 3;2.48;2148;1;1000;3.02;2983
1448;PTGKIM-Zone 2-Zone 3;PTG;KIM;Zone 2;Zone 3;3.02;2983;1;1000;3.14;2448
1449;PTGKLD-Zone 2-Zone 3;PTG;KLD;Zone 2;Zone 3;3.14;2448;1;1000;2.36;2148
1450;PTGNLP-Zone 2-Zone 3;PTG;NLP;Zone 2;Zone 3;2.36;2148;1;1000;3.08;3648
1451;PTGPLZ-Zone 2-Zone 3;PTG;PLZ;Zone 2;Zone 3;3.08;3648;1;1000;1.9;1508
1452;PTGPTG-Zone 2-Zone 3;PTG;PTG;Zone 2;Zone 3;1.9;1508;1;1000;2.21;1844
1453;BFNBFN-Zone 3-Zone 3;BFN;BFN;Zone 3;Zone 3;2.21;1844;1;1000;2.97;3084
1454;BFNCPT-Zone 3-Zone 3;BFN;CPT;Zone 3;Zone 3;2.97;3084;1;1000;2.85;2784
1455;BFNDUR-Zone 3-Zone 3;BFN;DUR;Zone 3;Zone 3;2.85;2784;1;1000;3.39;2584
1456;BFNELS-Zone 3-Zone 3;BFN;ELS;Zone 3;Zone 3;3.39;2584;1;1000;3.51;2784
1457;BFNGRG-Zone 3-Zone 3;BFN;GRG;Zone 3;Zone 3;3.51;2784;1;1000;2.85;2784
1458;BFNJNB-Zone 3-Zone 3;BFN;JNB;Zone 3;Zone 3;2.85;2784;1;1000;2.73;2084
1459;BFNKIM-Zone 3-Zone 3;BFN;KIM;Zone 3;Zone 3;2.73;2084;1;1000;2.79;2284
1460;BFNKLD-Zone 3-Zone 3;BFN;KLD;Zone 3;Zone 3;2.79;2284;1;1000;3.03;2784
1461;BFNNLP-Zone 3-Zone 3;BFN;NLP;Zone 3;Zone 3;3.03;2784;1;1000;3.33;2584
1462;BFNPLZ-Zone 3-Zone 3;BFN;PLZ;Zone 3;Zone 3;3.33;2584;1;1000;3.03;3284
1463;BFNPTG-Zone 3-Zone 3;BFN;PTG;Zone 3;Zone 3;3.03;3284;1;1000;2.97;3084
1464;CPTBFN-Zone 3-Zone 3;CPT;BFN;Zone 3;Zone 3;2.97;3084;1;1000;1.11;1034
1465;CPTCPT-Zone 3-Zone 3;CPT;CPT;Zone 3;Zone 3;1.11;1034;1;1000;2.91;3434
1466;CPTDUR-Zone 3-Zone 3;CPT;DUR;Zone 3;Zone 3;2.91;3434;1;1000;3.33;3584
1467;CPTELS-Zone 3-Zone 3;CPT;ELS;Zone 3;Zone 3;3.33;3584;1;1000;3.69;2684
1468;CPTGRG-Zone 3-Zone 3;CPT;GRG;Zone 3;Zone 3;3.69;2684;1;1000;3.34;3319
1469;CPTJNB-Zone 3-Zone 3;CPT;JNB;Zone 3;Zone 3;3.34;3319;1;1000;3.51;3084
1470;CPTKIM-Zone 3-Zone 3;CPT;KIM;Zone 3;Zone 3;3.51;3084;1;1000;3.09;2284
1471;CPTKLD-Zone 3-Zone 3;CPT;KLD;Zone 3;Zone 3;3.09;2284;1;1000;3.63;3984
1472;CPTNLP-Zone 3-Zone 3;CPT;NLP;Zone 3;Zone 3;3.63;3984;1;1000;3.39;3319
1473;CPTPLZ-Zone 3-Zone 3;CPT;PLZ;Zone 3;Zone 3;3.39;3319;1;1000;3.63;3984
1474;CPTPTG-Zone 3-Zone 3;CPT;PTG;Zone 3;Zone 3;3.63;3984;1;1000;2.85;2784
1475;DURBFN-Zone 3-Zone 3;DUR;BFN;Zone 3;Zone 3;2.85;2784;1;1000;2.91;3434
1476;DURCPT-Zone 3-Zone 3;DUR;CPT;Zone 3;Zone 3;2.91;3434;1;1000;1.11;1034
1477;DURDUR-Zone 3-Zone 3;DUR;DUR;Zone 3;Zone 3;1.11;1034;1;1000;3.09;2784
1478;DURELS-Zone 3-Zone 3;DUR;ELS;Zone 3;Zone 3;3.09;2784;1;1000;3.57;3434
1479;DURGRG-Zone 3-Zone 3;DUR;GRG;Zone 3;Zone 3;3.57;3434;1;1000;1.81;2161
1480;DURJNB-Zone 3-Zone 3;DUR;JNB;Zone 3;Zone 3;1.81;2161;1;1000;3.63;2984
1481;DURKIM-Zone 3-Zone 3;DUR;KIM;Zone 3;Zone 3;3.63;2984;1;1000;3.33;2784
1482;DURKLD-Zone 3-Zone 3;DUR;KLD;Zone 3;Zone 3;3.33;2784;1;1000;3.45;2784
1483;DURNLP-Zone 3-Zone 3;DUR;NLP;Zone 3;Zone 3;3.45;2784;1;1000;3.15;3084
1484;DURPLZ-Zone 3-Zone 3;DUR;PLZ;Zone 3;Zone 3;3.15;3084;1;1000;3.45;3284
1485;DURPTG-Zone 3-Zone 3;DUR;PTG;Zone 3;Zone 3;3.45;3284;1;1000;3.39;2584
1486;ELSBFN-Zone 3-Zone 3;ELS;BFN;Zone 3;Zone 3;3.39;2584;1;1000;3.33;3584
1487;ELSCPT-Zone 3-Zone 3;ELS;CPT;Zone 3;Zone 3;3.33;3584;1;1000;3.09;2784
1488;ELSDUR-Zone 3-Zone 3;ELS;DUR;Zone 3;Zone 3;3.09;2784;1;1000;2.33;1844
1489;ELSELS-Zone 3-Zone 3;ELS;ELS;Zone 3;Zone 3;2.33;1844;1;1000;3.33;2284
1490;ELSGRG-Zone 3-Zone 3;ELS;GRG;Zone 3;Zone 3;3.33;2284;1;1000;3.51;3584
1491;ELSJNB-Zone 3-Zone 3;ELS;JNB;Zone 3;Zone 3;3.51;3584;1;1000;4.11;2784
1492;ELSKIM-Zone 3-Zone 3;ELS;KIM;Zone 3;Zone 3;4.11;2784;1;1000;3.57;3319
1493;ELSKLD-Zone 3-Zone 3;ELS;KLD;Zone 3;Zone 3;3.57;3319;1;1000;3.93;3984
1494;ELSNLP-Zone 3-Zone 3;ELS;NLP;Zone 3;Zone 3;3.93;3984;1;1000;2.73;2084
1495;ELSPLZ-Zone 3-Zone 3;ELS;PLZ;Zone 3;Zone 3;2.73;2084;1;1000;3.99;3984
1496;ELSPTG-Zone 3-Zone 3;ELS;PTG;Zone 3;Zone 3;3.99;3984;1;1000;3.51;2784
1497;GRGBFN-Zone 3-Zone 3;GRG;BFN;Zone 3;Zone 3;3.51;2784;1;1000;3.69;2684
1498;GRGCPT-Zone 3-Zone 3;GRG;CPT;Zone 3;Zone 3;3.69;2684;1;1000;3.57;3434
1499;GRGDUR-Zone 3-Zone 3;GRG;DUR;Zone 3;Zone 3;3.57;3434;1;1000;3.33;2284
1500;GRGELS-Zone 3-Zone 3;GRG;ELS;Zone 3;Zone 3;3.33;2284;1;1000;2.33;1844
1501;GRGGRG-Zone 3-Zone 3;GRG;GRG;Zone 3;Zone 3;2.33;1844;1;1000;3.84;3784
1502;GRGJNB-Zone 3-Zone 3;GRG;JNB;Zone 3;Zone 3;3.84;3784;1;1000;3.75;3084
1503;GRGKIM-Zone 3-Zone 3;GRG;KIM;Zone 3;Zone 3;3.75;3084;1;1000;3.84;3319
1504;GRGKLD-Zone 3-Zone 3;GRG;KLD;Zone 3;Zone 3;3.84;3319;1;1000;3.93;4284
1505;GRGNLP-Zone 3-Zone 3;GRG;NLP;Zone 3;Zone 3;3.93;4284;1;1000;3.33;2284
1506;GRGPLZ-Zone 3-Zone 3;GRG;PLZ;Zone 3;Zone 3;3.33;2284;1;1000;3.99;4284
1507;GRGPTG-Zone 3-Zone 3;GRG;PTG;Zone 3;Zone 3;3.99;4284;1;1000;2.85;2784
1508;JNBBFN-Zone 3-Zone 3;JNB;BFN;Zone 3;Zone 3;2.85;2784;1;1000;3.34;3319
1509;JNBCPT-Zone 3-Zone 3;JNB;CPT;Zone 3;Zone 3;3.34;3319;1;1000;1.81;2161
1510;JNBDUR-Zone 3-Zone 3;JNB;DUR;Zone 3;Zone 3;1.81;2161;1;1000;3.51;3584
1511;JNBELS-Zone 3-Zone 3;JNB;ELS;Zone 3;Zone 3;3.51;3584;1;1000;3.84;3784
1512;JNBGRG-Zone 3-Zone 3;JNB;GRG;Zone 3;Zone 3;3.84;3784;1;1000;1.07;1034
1513;JNBJNB-Zone 3-Zone 3;JNB;JNB;Zone 3;Zone 3;1.07;1034;1;1000;3.39;2984
1514;JNBKIM-Zone 3-Zone 3;JNB;KIM;Zone 3;Zone 3;3.39;2984;1;1000;2.73;2284
1515;JNBKLD-Zone 3-Zone 3;JNB;KLD;Zone 3;Zone 3;2.73;2284;1;1000;2.85;2084
1516;JNBNLP-Zone 3-Zone 3;JNB;NLP;Zone 3;Zone 3;2.85;2084;1;1000;3.34;3319
